cnpj loja,cnpj destinatário,fornecedor,nota,peças,valor unitario,loja,bandeira,data
99621920423870,47664606087837,cauduro esportes ltda,133024409,2,36,insurrection,veste,20230531
99621920423870,47664606087837,cauduro esportes ltda,133024409,6,57,insurrection,veste,20230531
99621920423870,47664606087837,cauduro esportes ltda,133024409,6,57,insurrection,veste,20230531
99621920423870,47664606087837,cauduro esportes ltda,133024409,30,13,insurrection,veste,20230531
99621920423870,47664606087837,cauduro esportes ltda,133024409,6,113,insurrection,veste,20230531
79987647710463,38627937707448,surf co ltda,460025446,1,151,sports rua,veste,20230531
79987647710463,38627937707448,surf co ltda,460025446,2,151,sports rua,veste,20230531
79987647710463,38627937707448,surf co ltda,460025446,2,151,sports rua,veste,20230531
79987647710463,38627937707448,surf co ltda,460025446,1,151,sports rua,veste,20230531
79987647710463,38627937707448,surf co ltda,460025446,1,191,sports rua,veste,20230531
79987647710463,38627937707448,surf co ltda,460025446,2,191,sports rua,veste,20230531
79987647710463,38627937707448,surf co ltda,460025446,2,191,sports rua,veste,20230531
79987647710463,38627937707448,surf co ltda,460025446,1,191,sports rua,veste,20230531
79987647710463,38627937707448,mosca negra confeccoes e comercio ltda,567973967,2,76,sports rua,veste,20230531
79987647710463,38627937707448,mosca negra confeccoes e comercio ltda,567973967,1,76,sports rua,veste,20230531
79987647710463,38627937707448,mosca negra confeccoes e comercio ltda,567973967,2,76,sports rua,veste,20230531
79987647710463,38627937707448,mosca negra confeccoes e comercio ltda,567973967,1,76,sports rua,veste,20230531
79987647710463,38627937707448,mosca negra confeccoes e comercio ltda,567973967,1,76,sports rua,veste,20230531
79987647710463,38627937707448,mosca negra confeccoes e comercio ltda,567973967,2,76,sports rua,veste,20230531
79987647710463,38627937707448,mosca negra confeccoes e comercio ltda,567973967,1,76,sports rua,veste,20230531
79987647710463,38627937707448,mosca negra confeccoes e comercio ltda,567973967,2,76,sports rua,veste,20230531
79987647710463,38627937707448,mosca negra confeccoes e comercio ltda,567973967,1,76,sports rua,veste,20230531
79987647710463,38627937707448,mosca negra confeccoes e comercio ltda,567973967,1,76,sports rua,veste,20230531
35205935154772,89017391765483,surf co ltda,193918334,1,151,j g - sports shopping,veste,20230531
35205935154772,89017391765483,surf co ltda,193918334,2,151,j g - sports shopping,veste,20230531
35205935154772,89017391765483,surf co ltda,193918334,2,151,j g - sports shopping,veste,20230531
35205935154772,89017391765483,surf co ltda,193918334,1,151,j g - sports shopping,veste,20230531
35205935154772,89017391765483,surf co ltda,193918334,1,191,j g - sports shopping,veste,20230531
35205935154772,89017391765483,surf co ltda,193918334,2,191,j g - sports shopping,veste,20230531
35205935154772,89017391765483,surf co ltda,193918334,2,191,j g - sports shopping,veste,20230531
35205935154772,89017391765483,surf co ltda,193918334,1,191,j g - sports shopping,veste,20230531
00116636301703,26016122194929,arezzo industria e comercio s.a.,736417540,2,191,sports rua,veste,20230531
00116636301703,26016122194929,arezzo industria e comercio s.a.,566000473,3,45,sports rua,veste,20230531
00116636301703,26016122194929,arezzo industria e comercio s.a.,566000473,10,45,sports rua,veste,20230531
00116636301703,26016122194929,arezzo industria e comercio s.a.,566000473,2,45,sports rua,veste,20230531
82680876005190,52696568983570,mf gestão de franquias ltda,461181862,20,95,crf são bento,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,14,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,14,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,3,14,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,14,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,14,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,14,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,14,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,3,14,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,14,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,24,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,24,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,3,24,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,3,24,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,19,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,19,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,19,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,3,19,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,19,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,19,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,12,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,3,24,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,6,18,crf lg cutelo,crf,20230531
34585850594947,68735801235280,malharia rikam ltda,288023589,18,18,crf lg cutelo,crf,20230531
